货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 23:42:27 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 23:42:27 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 23:42:27 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 23:29:00 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 23:28:55 
美元 634.21 629.05 636.89 636.89 637.57 2021.12.31 23:16:36 
美元 634.21 629.05 636.89 636.89 637.57 2021.12.31 23:03:39 
美元 634.21 629.05 636.89 636.89 637.57 2021.12.31 22:38:48 
美元 634.21 629.05 636.89 636.89 637.57 2021.12.31 22:28:30 
美元 634.01 628.85 636.69 636.69 637.57 2021.12.31 22:25:19 
美元 634.01 628.85 636.69 636.69 637.57 2021.12.31 22:16:26 
美元 633.96 628.8 636.64 636.64 637.57 2021.12.31 22:08:59 
美元 633.81 628.65 636.49 636.49 637.57 2021.12.31 21:59:35 
美元 633.81 628.65 636.49 636.49 637.57 2021.12.31 21:55:22 
美元 633.81 628.65 636.49 636.49 637.57 2021.12.31 21:45:02 
美元 633.81 628.65 636.49 636.49 637.57 2021.12.31 21:38:03 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 21:31:29 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 21:27:12 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 21:21:17 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 21:16:01 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 21:11:37 
美元 633.86 628.7 636.54 636.54 637.57 2021.12.31 21:11:25 
美元 633.76 628.6 636.44 636.44 637.57 2021.12.31 21:10:19 
美元 633.76 628.6 636.44 636.44 637.57 2021.12.31 21:06:56 
美元 633.76 628.6 636.44 636.44 637.57 2021.12.31 21:01:49 
美元 633.71 628.55 636.39 636.39 637.57 2021.12.31 20:57:23 
美元 633.61 628.45 636.29 636.29 637.57 2021.12.31 20:51:29 
美元 633.51 628.35 636.19 636.19 637.57 2021.12.31 20:47:03 
美元 633.51 628.35 636.19 636.19 637.57 2021.12.31 20:34:36 
美元 633.51 628.35 636.19 636.19 637.57 2021.12.31 20:15:44 
美元 633.56 628.4 636.24 636.24 637.57 2021.12.31 20:14:50 
美元 633.56 628.4 636.24 636.24 637.57 2021.12.31 20:14:47 
美元 633.56 628.4 636.24 636.24 637.57 2021.12.31 20:14:46 
美元 633.56 628.4 636.24 636.24 637.57 2021.12.31 20:14:44 
美元 633.56 628.4 636.24 636.24 637.57 2021.12.31 20:00:54 
美元 633.51 628.35 636.19 636.19 637.57 2021.12.31 20:00:30 
美元 633.51 628.35 636.19 636.19 637.57 2021.12.31 19:53:08 
美元 633.46 628.3 636.14 636.14 637.57 2021.12.31 19:45:24 
美元 633.46 628.3 636.14 636.14 637.57 2021.12.31 19:39:34 
美元 633.46 628.3 636.14 636.14 637.57 2021.12.31 19:21:42 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 19:21:33 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 19:13:44 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 19:11:39 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 18:56:15 
美元 633.31 628.16 635.99 635.99 637.57 2021.12.31 18:51:18 
美元 633.31 628.16 635.99 635.99 637.57 2021.12.31 18:45:58 
美元 633.31 628.16 635.99 635.99 637.57 2021.12.31 18:41:50 
美元 633.21 628.06 635.89 635.89 637.57 2021.12.31 18:41:40 
美元 633.01 627.86 635.69 635.69 637.57 2021.12.31 18:28:07 
美元 633.11 627.96 635.79 635.79 637.57 2021.12.31 18:28:01 
美元 633.21 628.06 635.89 635.89 637.57 2021.12.31 18:27:47 
美元 633.21 628.06 635.89 635.89 637.57 2021.12.31 18:27:24 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 18:24:28 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 18:21:43 
美元 633.41 628.25 636.09 636.09 637.57 2021.12.31 18:21:33 
美元 633.61 628.45 636.29 636.29 637.57 2021.12.31 18:14:36 
美元 633.61 628.45 636.29 636.29 637.57 2021.12.31 18:11:25 
美元 633.91 628.75 636.59 636.59 637.57 2021.12.31 18:10:41 
美元 634.06 628.9 636.74 636.74 637.57 2021.12.31 17:58:33 
美元 634.21 629.05 636.89 636.89 637.57 2021.12.31 17:51:40 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 634.11 628.95 636.79 636.79 637.57 2021.12.31 17:49:01 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 17:43:14 
美元 634.26 629.1 636.94 636.94 637.57 2021.12.31 17:34:50 
美元 634.26 629.1 636.94 636.94 637.57 2021.12.31 17:25:38 
美元 634.31 629.15 636.99 636.99 637.57 2021.12.31 17:25:13 
美元 634.41 629.24 637.09 637.09 637.57 2021.12.31 17:22:20 
美元 634.5 629.34 637.19 637.19 637.57 2021.12.31 17:20:54 
美元 634.55 629.39 637.24 637.24 637.57 2021.12.31 17:17:54 
美元 634.65 629.49 637.34 637.34 637.57 2021.12.31 17:16:57 
美元 634.7 629.54 637.39 637.39 637.57 2021.12.31 17:15:38 
美元 634.75 629.59 637.44 637.44 637.57 2021.12.31 17:11:14 
美元 634.8 629.64 637.49 637.49 637.57 2021.12.31 17:09:27 
美元 634.8 629.64 637.49 637.49 637.57 2021.12.31 17:07:44 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 17:07:00 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 17:01:58 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 17:00:39 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 16:59:32 
美元 634.9 629.74 637.59 637.59 637.57 2021.12.31 16:57:14 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 16:54:36 
美元 634.85 629.69 637.54 637.54 637.57 2021.12.31 16:51:15 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 634.9 629.74 637.59 637.59 637.57 2021.12.31 16:48:22 
美元 634.95 629.79 637.64 637.64 637.57 2021.12.31 16:47:41 
美元 635 629.84 637.7 637.7 637.57 2021.12.31 16:47:22 
美元 635.1 629.94 637.8 637.8 637.57 2021.12.31 16:46:55 
美元 635.2 630.04 637.9 637.9 637.57 2021.12.31 16:44:21 
美元 635.3 630.14 638 638 637.57 2021.12.31 16:43:25 
美元 635.35 630.18 638.05 638.05 637.57 2021.12.31 16:42:26 
美元 635.4 630.23 638.1 638.1 637.57 2021.12.31 16:38:49 
美元 635.45 630.28 638.15 638.15 637.57 2021.12.31 16:38:25 
美元 635.5 630.33 638.2 638.2 637.57 2021.12.31 16:38:16 
美元 635.55 630.38 638.25 638.25 637.57 2021.12.31 16:31:41 
美元 635.6 630.43 638.3 638.3 637.57 2021.12.31 16:31:25 
美元 635.7 630.53 638.4 638.4 637.57 2021.12.31 16:30:52 
美元 635.8 630.63 638.5 638.5 637.57 2021.12.31 16:30:34 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 16:30:27 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 16:28:01 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 16:27:50 
美元 635.79 630.62 638.49 638.49 637.57 2021.12.31 16:26:09 
美元 635.75 630.58 638.45 638.45 637.57 2021.12.31 16:24:48 
美元 635.75 630.58 638.45 638.45 637.57 2021.12.31 16:23:02 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 635.75 630.58 638.45 638.45 637.57 2021.12.31 16:23:01 
美元 635.8 630.63 638.5 638.5 637.57 2021.12.31 16:22:38 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 16:21:22 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 16:20:36 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 16:14:51 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 16:10:16 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 16:05:42 
美元 636.05 630.88 638.75 638.75 637.57 2021.12.31 16:01:30 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 15:56:12 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 15:53:54 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:52:09 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 15:41:10 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:37:14 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:31:43 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:21:17 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:15:21 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 15:12:01 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:10:29 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 15:08:07 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 14:50:12 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 14:45:01 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 14:34:50 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 14:32:04 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 14:30:02 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 14:28:58 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 14:20:17 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 14:20:10 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 14:19:33 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 14:16:20 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 14:11:36 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 14:08:14 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 14:04:27 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 14:01:31 
美元 635.85 630.68 638.55 638.55 637.57 2021.12.31 14:00:00 
美元 635.9 630.73 638.6 638.6 637.57 2021.12.31 13:55:40 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 13:50:35 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 13:30:09 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 12:41:47 
美元 635.95 630.78 638.65 638.65 637.57 2021.12.31 11:59:25 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 11:43:38 
  
货币名称 现汇买入价 现钞买入价 现汇卖出价 现钞卖出价 中行折算价 发布时间 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 11:37:11 
美元 636.05 630.88 638.75 638.75 637.57 2021.12.31 11:28:54 
美元 636.05 630.88 638.75 638.75 637.57 2021.12.31 11:11:18 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 11:11:07 
美元 636 630.83 638.7 638.7 637.57 2021.12.31 11:00:46 
美元 636.05 630.88 638.75 638.75 637.57 2021.12.31 10:57:28 
美元 636.1 630.93 638.8 638.8 637.57 2021.12.31 10:53:53 
美元 636.15 630.98 638.85 638.85 637.57 2021.12.31 10:44:24 
美元 636.1 630.93 638.8 638.8 637.57 2021.12.31 10:37:54 
美元 636.15 630.98 638.85 638.85 637.57 2021.12.31 10:33:50 
美元 636.2 631.03 638.9 638.9 637.57 2021.12.31 10:30:00 
美元 636.2 631.03 638.9 638.9 637.57 2021.12.31 10:30:00 
美元 636.2 631.03 638.9 638.9 637.57 2021.12.31 10:30:00 
美元 636.2 631.03 638.9 638.9 637.57 2021.12.31 10:26:51 
美元 636.25 631.08 638.95 638.95 637.57 2021.12.31 10:22:01 
美元 636.35 631.17 639.05 639.05 637.57 2021.12.31 10:12:24 
美元 636.35 631.17 639.05 639.05 637.57 2021.12.31 10:11:51 
美元 636.35 631.17 639.05 639.05 637.57 2021.12.31 10:11:51 
